iata_code,airport_name,city,hotel_name,price_per_night,rating,reviews,hotel_class,amenities,image_url
DBB,Al Alamein Airport,Al Alamein,Marina 4,,5.0,5.0,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHUlfD9yTl511F2bwUGRekoU5ev9QKKkPkPTjOsWv-NfwA_1xJO9YVJTxtxS1vEnZcRLMfcqcK4KGUPZwgDFdbm2ptDFIpckd7Nw5k5YwYHynnAG2jXn4BHTabYo98EHehpOc=s287-w287-h192-n-k-no-v1
DBB,Al Alamein Airport,Al Alamein,Big Apartment Swimmable Lakefrnt,,,,,Air conditioning | Heating | Kitchen | Microwave | Oven stove | Smoke-free | Cable TV | Washer | Free parking | Free Wi-Fi,https://lh3.googleusercontent.com/proxy/orGaMhj-4n3zILk_T6gD3G5ueqkckhMvS9cRtM6cHzWYrVtTDrldbT1XEVZ6CKLwiLe960Zr2py4DCeeM_kjg2juIScm7vD_lDS5bwDOFLqUJsS43MynFgZrEr-KW63v-MRV-UbsAs6wNugzyCBke7zsAcZ3jg=s287-w287-h192-n-k-no-v1
DEL,Indira Gandhi Airport,New Delhi,Foxoso Delhi Airport - T3,,4.4,3060.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Air conditioning | Restaurant | Room service | Kitchen in some rooms | Full‑service laundry,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFOpsGxkjayEG12OfYYwaDN_xmdgeQqTKi99eT40ZMc4EIIZb58-8YskbCznIkJ2eYqa6OInSDb9jYFkXkjN_H9m5thFih9pND-exc-atLn1PAS-LQ8wVGRV62adAEXmoILtnseAnobfC3F=s287-w287-h192-n-k-no-v1
DEL,Indira Gandhi Airport,New Delhi,"Lemon Tree Premier, Delhi Airport",,4.1,11523.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Outdoor pool | Hot tub | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHbARvYib-4NEScBUBqvWO4EhSEDSJs4vZVnI8MKb9SbV5oog5na2bTfv5_kTVwDACWIPUPdmryQUQqyGVyxI1f28ye6ZvuCg1QwOA_kDkf86B0lyNUBhj5OCbOFYYjs53HacHlTQ=s287-w287-h192-n-k-no-v1
DEL,Indira Gandhi Airport,New Delhi,ibis New Delhi Aerocity,,4.5,35929.0,3-star hotel,Free Wi‑Fi | Free parking | Outdoor pool | Air conditioning | Pet-friendly | Fitness center | Bar | Restaurant | Room service | Full‑service laundry | Accessible | Business center | Kid-friendly | Smoke-free property,https://via.placeholder.com/400x300?text=No+Image+Found
DEL,Indira Gandhi Airport,New Delhi,Pride Plaza Aerocity,,4.8,24478.0,5-star hotel,Wi‑Fi ($) | Free parking | Pool | Hot tub | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Kitchen in some rooms | Airport shuttle | Full‑service laundry | Accessible | Business center,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFtg1Cl0v0nmWz0MF6p68-N342jgO6n64do7P9dmETyJonpbgkkY94aE121oI-nuxLl0yCQglYralWN7Fom6S4kMi1RxHSIvv0BcWY6JSRSIL7P_CnzdLbc7IdgSKnspcC5ng-U=s287-w287-h192-n-k-no-v1
DEL,Indira Gandhi Airport,New Delhi,"Airport Hotel Chanakya, Delhi",,4.4,8673.0,4-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Air conditioning | Fitness center | Spa | Bar | Restaurant | Room service | Kitchen in some rooms | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly | Smoke-free property,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxR2fY8ggsvv4WmQy9Mp81wSLZr3f2kTcgr4QyV40d1O9d2yv2i2CszaMfgt0qtJcjazNQQ9uBvG2A3G4JXWpt635asIwxJY2OUtv4BiW2RK7eqS2REVbIB-_yxh_PTx7_kJlWZQ=s287-w287-h192-n-k-no-v1
DEL,Indira Gandhi Airport,New Delhi,Smart Signature Hotel Delhi Airport,,,,,Air conditioning | Kid-friendly | Smoke-free | Cable TV | Washer | Wheelchair accessible | Free parking | Free Wi-Fi,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFRe4Gqs5obaT-4fvuc3F0y9FhUr-lgW7tvuOZhdIp5fWg6HDcO35SWs8LGxpiP_91Bn_Gdoncr6u0jcJeTralK6nw7mmrWbAeDEaCAOaK7qlCSTzUtJI0069_Lr2P_eYIwqu9OJQ=s287-w287-h192-n-k-no-v1
DEL,Indira Gandhi Airport,New Delhi,"Andaz Delhi, by Hyatt",,4.5,12200.0,5-star hotel,Free breakfast | Free Wi‑Fi | Free parking | Outdoor pool | Air conditioning | Pet-friendly | Fitness center | Spa | Bar | Restaurant | Room service | Kitchen in some rooms | Full‑service laundry | Accessible | Business center | Kid-friendly | Smoke-free property,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFz1hOr3uxa9IHXQpOeBpRrUfVW5jzRnUYUsnGP31BhkRZZUiOkPAJ0EvKDOKzWctcN_7tE9t1gWu1dNN6P7KMgfQqbFVCUQln8sz-ki-fVqgWDwvUMtf6MGVBP63EVpWmf0d9S5w=s287-w287-h192-n-k-no-v1
DEL,Indira Gandhi Airport,New Delhi,Novotel New Delhi Aerocity,,4.6,21230.0,5-star hotel,Free Wi‑Fi | Free parking | Outdoor pool | Air conditioning | Pet-friendly | Fitness center | Spa | Bar | Restaurant | Room service | Airport shuttle | Full‑service laundry | Accessible | Business center | Kid-friendly,https://lh4.googleusercontent.com/proxy/0be8tH_8tPTOhr4PovkzJdzDb2QGHVRAMTeg2GF0rIR1J4fj0ajAtDRaYn-_iFl3x8ilhCTbGjghzbi4kQvDZBWEySIrA-7KmHqmqjtYl1gxBHPCqQ9a8BcYEi3Ui8f8l9AVAOB6RhFlMH77KP51fQ7k6nG57oo=s287-w287-h192-n-k-no-v1
